month,actual_revenue,forecast_revenue,forecast_lower,forecast_upper,record_type
2025-01,93783120.48,,,,Historical
2025-02,98030342.36,,,,Historical
2025-03,104067609.63,,,,Historical
2025-04,93037995.11,,,,Historical
2025-05,101791807.72,,,,Historical
2025-06,100138035.26,,,,Historical
2025-07,96345204.99,,,,Historical
2025-08,97657677.27,,,,Historical
2025-09,94253750.02,,,,Historical
2025-10,103058184.83,,,,Historical
2025-11,103196747.06,,,,Historical
2025-12,91388241.78,,,,Historical
2026-01,95998840.37,,,,Historical
2026-02,98542818.43,,,,Historical
2026-03,88414603.94,,,,Historical
2026-04,95421679.16,,,,Historical
2026-05,88860810.97,,,,Historical
2026-06,93640128.83,,,,Historical
2026-07,,94382714.62,84944443.16,103820986.08,Forecast
2026-08,,96124556.25,86512100.62,105737011.87,Forecast
2026-09,,97866397.88,88079758.09,107653037.66,Forecast
