engagement_id,campaign_id,hcp_id,rep_id,territory_id,engagement_date,channel,engagement_type,opened,clicked,attended,response_score
ENG000001,CAMP0001,HCP0349,REP037,T001,2026-05-23,Field Event,Clicked Link,True,True,False,87
ENG000002,CAMP0001,HCP0001,REP037,T001,2026-03-22,Email,Clicked Link,True,False,False,36
ENG000003,CAMP0001,HCP0229,REP025,T001,2026-04-03,Email,Clicked Link,True,False,False,62
ENG000004,CAMP0001,HCP0289,REP037,T001,2026-05-06,Email,Registered,True,False,False,85
ENG000005,CAMP0001,HCP0457,REP013,T001,2026-03-03,Email,Registered,True,False,False,94
ENG000006,CAMP0001,HCP0289,REP001,T001,2026-05-22,Webinar,Registered,True,True,False,90
ENG000007,CAMP0001,HCP0085,REP001,T001,2026-05-13,Webinar,Downloaded,False,False,True,63
ENG000008,CAMP0001,HCP0493,REP025,T001,2026-05-09,Email,Clicked Link,True,True,True,28
ENG000009,CAMP0001,HCP0457,REP037,T001,2026-04-01,Webinar,Attended,True,True,False,12
ENG000010,CAMP0001,HCP0193,REP037,T001,2026-03-24,Webinar,Registered,True,False,False,30
ENG000011,CAMP0001,HCP0409,REP013,T001,2026-04-18,Digital Ad,Clicked Link,True,False,False,80
ENG000012,CAMP0001,HCP0121,REP025,T001,2026-05-15,Field Event,Clicked Link,False,False,False,75
ENG000013,CAMP0001,HCP0181,REP037,T001,2026-05-11,Webinar,Registered,True,False,False,62
ENG000014,CAMP0001,HCP0097,REP025,T001,2026-04-22,Digital Ad,Attended,True,True,False,15
ENG000015,CAMP0001,HCP0037,REP001,T001,2026-05-10,Digital Ad,Opened Content,True,False,False,35
ENG000016,CAMP0001,HCP0325,REP025,T001,2026-05-17,Field Event,Downloaded,False,False,False,25
ENG000017,CAMP0001,HCP0469,REP013,T001,2026-04-24,Email,Clicked Link,True,True,False,6
ENG000018,CAMP0001,HCP0061,REP001,T001,2026-05-24,Digital Ad,Downloaded,False,False,False,68
ENG000019,CAMP0001,HCP0097,REP025,T001,2026-04-24,Webinar,Downloaded,True,False,False,53
ENG000020,CAMP0001,HCP0433,REP001,T001,2026-02-21,Digital Ad,Attended,True,False,False,28
ENG000021,CAMP0001,HCP0481,REP001,T001,2026-05-14,Webinar,Clicked Link,True,False,False,85
ENG000022,CAMP0001,HCP0073,REP013,T001,2026-03-19,Field Event,Registered,False,False,False,84
ENG000023,CAMP0001,HCP0073,REP001,T001,2026-02-23,Email,Opened Content,False,False,False,86
ENG000024,CAMP0001,HCP0313,REP025,T001,2026-04-10,Email,Attended,False,False,False,83
ENG000025,CAMP0001,HCP0481,REP025,T001,2026-03-27,Webinar,Registered,True,True,False,53
ENG000026,CAMP0001,HCP0409,REP037,T001,2026-04-06,Field Event,Registered,True,True,True,71
ENG000027,CAMP0001,HCP0133,REP025,T001,2026-03-22,Email,Opened Content,True,True,False,48
ENG000028,CAMP0001,HCP0037,REP025,T001,2026-02-25,Webinar,Attended,True,True,False,68
ENG000029,CAMP0001,HCP0073,REP037,T001,2026-03-17,Digital Ad,Registered,False,False,False,38
ENG000030,CAMP0001,HCP0313,REP025,T001,2026-04-07,Digital Ad,Attended,True,True,False,87
ENG000031,CAMP0001,HCP0133,REP001,T001,2026-04-23,Email,Registered,True,False,False,5
ENG000032,CAMP0001,HCP0325,REP013,T001,2026-04-05,Webinar,Registered,True,False,True,71
ENG000033,CAMP0002,HCP0098,REP002,T002,2025-06-07,Digital Ad,Opened Content,True,False,False,60
ENG000034,CAMP0002,HCP0098,REP014,T002,2025-07-06,Webinar,Downloaded,False,False,True,45
ENG000035,CAMP0002,HCP0170,REP002,T002,2025-06-26,Email,Attended,True,True,False,77
ENG000036,CAMP0002,HCP0362,REP002,T002,2025-06-25,Webinar,Registered,True,True,False,47
ENG000037,CAMP0002,HCP0158,REP026,T002,2025-07-01,Field Event,Attended,False,False,True,42
ENG000038,CAMP0002,HCP0158,REP026,T002,2025-05-04,Webinar,Clicked Link,True,False,False,34
ENG000039,CAMP0002,HCP0062,REP014,T002,2025-06-26,Digital Ad,Opened Content,True,False,False,77
ENG000040,CAMP0002,HCP0062,REP026,T002,2025-06-22,Email,Downloaded,True,False,False,20
ENG000041,CAMP0002,HCP0158,REP026,T002,2025-05-17,Field Event,Attended,True,False,False,22
ENG000042,CAMP0002,HCP0338,REP002,T002,2025-06-07,Digital Ad,Clicked Link,False,False,False,30
ENG000043,CAMP0002,HCP0482,REP002,T002,2025-05-21,Webinar,Opened Content,True,False,False,25
ENG000044,CAMP0002,HCP0062,REP002,T002,2025-05-15,Field Event,Attended,True,True,False,54
ENG000045,CAMP0002,HCP0290,REP038,T002,2025-05-18,Email,Attended,False,False,True,50
ENG000046,CAMP0002,HCP0170,REP038,T002,2025-06-03,Digital Ad,Attended,True,False,True,18
ENG000047,CAMP0002,HCP0194,REP038,T002,2025-07-07,Webinar,Registered,True,False,False,81
ENG000048,CAMP0002,HCP0290,REP002,T002,2025-06-09,Webinar,Clicked Link,True,True,False,24
ENG000049,CAMP0002,HCP0170,REP026,T002,2025-05-29,Field Event,Clicked Link,False,False,False,91
ENG000050,CAMP0002,HCP0194,REP002,T002,2025-06-26,Digital Ad,Registered,False,False,False,92
ENG000051,CAMP0002,HCP0170,REP026,T002,2025-05-16,Field Event,Opened Content,True,False,False,77
ENG000052,CAMP0002,HCP0362,REP038,T002,2025-05-15,Email,Attended,False,False,False,95
ENG000053,CAMP0002,HCP0098,REP026,T002,2025-05-13,Webinar,Registered,True,True,False,32
ENG000054,CAMP0002,HCP0338,REP014,T002,2025-06-10,Digital Ad,Clicked Link,True,True,False,93
ENG000055,CAMP0002,HCP0170,REP014,T002,2025-05-15,Digital Ad,Registered,True,False,True,77
ENG000056,CAMP0002,HCP0194,REP038,T002,2025-06-01,Email,Registered,True,True,False,38
ENG000057,CAMP0002,HCP0110,REP014,T002,2025-05-22,Email,Downloaded,True,False,False,87
ENG000058,CAMP0002,HCP0470,REP038,T002,2025-07-08,Email,Registered,True,False,True,37
