call_id,call_date,hcp_id,rep_id,territory_id,product_id,call_type,call_status,call_duration_minutes,discussion_topic,sample_dropped,next_call_planned_date,engagement_score
CALL000001,2025-01-11,HCP0373,REP001,T001,PROD008,Planned,Completed,27,Patient affordability,True,2025-01-30,91
CALL000002,2025-01-29,HCP0481,REP001,T001,PROD020,Planned,Completed,21,Brand reminder,True,2025-02-16,45
CALL000003,2025-01-24,HCP0193,REP001,T001,PROD006,Ad hoc,Completed,33,Conference invite,False,2025-02-17,53
CALL000004,2025-01-12,HCP0373,REP001,T001,PROD016,Planned,Completed,35,Sample follow-up,True,2025-02-05,58
CALL000005,2025-01-10,HCP0049,REP001,T001,PROD002,Ad hoc,Completed,11,New clinical evidence,False,2025-02-03,49
CALL000006,2025-01-03,HCP0121,REP001,T001,PROD023,Planned,Completed,26,Sample follow-up,False,2025-01-18,56
CALL000007,2025-01-20,HCP0493,REP001,T001,PROD006,Planned,Rescheduled,8,New clinical evidence,False,2025-02-16,25
CALL000008,2025-01-18,HCP0313,REP001,T001,PROD021,Follow-up,Completed,39,Patient affordability,False,2025-02-20,31
CALL000009,2025-01-13,HCP0073,REP001,T001,PROD003,Ad hoc,Completed,14,New clinical evidence,False,2025-01-27,55
CALL000010,2025-01-27,HCP0061,REP001,T001,PROD011,Follow-up,Completed,35,Brand reminder,True,2025-02-11,27
CALL000011,2025-01-10,HCP0121,REP001,T001,PROD023,Ad hoc,Cancelled,12,Patient affordability,False,2025-02-23,63
CALL000012,2025-01-21,HCP0193,REP001,T001,PROD006,Planned,Completed,28,Dose optimization,False,2025-02-15,58
CALL000013,2025-01-15,HCP0025,REP001,T001,PROD013,Planned,Completed,22,Sample follow-up,True,2025-02-07,97
CALL000014,2025-01-22,HCP0073,REP001,T001,PROD003,Follow-up,Completed,31,Sample follow-up,True,2025-02-08,50
CALL000015,2025-01-31,HCP0397,REP001,T001,PROD012,Ad hoc,Completed,41,Brand reminder,False,2025-03-05,11
CALL000016,2025-01-02,HCP0301,REP001,T001,PROD018,Follow-up,Completed,41,Conference invite,True,2025-01-23,97
CALL000017,2025-01-31,HCP0337,REP001,T001,PROD002,Planned,Cancelled,17,Brand reminder,True,2025-03-13,11
CALL000018,2025-01-27,HCP0325,REP001,T001,PROD006,Follow-up,Completed,21,Patient affordability,True,2025-02-15,50
CALL000019,2025-01-18,HCP0421,REP001,T001,PROD014,Ad hoc,Completed,38,Dose optimization,True,2025-02-27,15
CALL000020,2025-01-05,HCP0313,REP001,T001,PROD005,Follow-up,Completed,11,New clinical evidence,True,2025-02-06,69
CALL000021,2025-01-09,HCP0265,REP001,T001,PROD015,Ad hoc,Completed,41,Sample follow-up,False,2025-01-25,23
CALL000022,2025-01-05,HCP0205,REP001,T001,PROD025,Follow-up,Completed,30,New clinical evidence,False,2025-02-09,89
CALL000023,2025-01-24,HCP0181,REP001,T001,PROD006,Ad hoc,Completed,28,New clinical evidence,False,2025-02-26,40
CALL000024,2025-01-22,HCP0374,REP002,T002,PROD019,Planned,Completed,13,Patient affordability,False,2025-02-25,35
CALL000025,2025-01-21,HCP0314,REP002,T002,PROD024,Ad hoc,Completed,18,Dose optimization,False,2025-02-27,8
CALL000026,2025-01-03,HCP0386,REP002,T002,PROD003,Follow-up,Completed,30,Brand reminder,True,2025-01-28,25
CALL000027,2025-01-08,HCP0146,REP002,T002,PROD008,Planned,Completed,28,Conference invite,True,2025-02-08,48
CALL000028,2025-01-13,HCP0350,REP002,T002,PROD018,Planned,Completed,6,Brand reminder,False,2025-02-27,77
CALL000029,2025-01-31,HCP0338,REP002,T002,PROD004,Follow-up,Rescheduled,40,Patient affordability,False,2025-02-24,34
CALL000030,2025-01-01,HCP0062,REP002,T002,PROD011,Planned,Completed,41,Brand reminder,True,2025-01-29,87
CALL000031,2025-01-21,HCP0158,REP002,T002,PROD013,Planned,Completed,5,Dose optimization,True,2025-02-15,77
