sales_id,sale_date,sale_month,hcp_id,territory_id,rep_id,product_id,units_sold,gross_sales,discount_amount,net_sales,sales_channel
SALE000001,2025-01-09,2025-01,HCP0421,T001,REP001,PROD014,82,128985.18,14103.99,114881.19,Distributor
SALE000002,2025-01-05,2025-01,HCP0493,T001,REP001,PROD014,18,28313.82,2030.28,26283.54,Retail
SALE000003,2025-01-19,2025-01,HCP0229,T001,REP001,PROD024,16,2045.92,148.21,1897.71,Retail
SALE000004,2025-01-13,2025-01,HCP0205,T001,REP001,PROD025,25,6546.0,171.26,6374.74,Distributor
SALE000005,2025-01-14,2025-01,HCP0193,T001,REP001,PROD006,6,22171.98,2665.54,19506.44,Retail
SALE000006,2025-01-15,2025-01,HCP0241,T001,REP001,PROD024,57,7288.59,657.77,6630.82,Hospital
SALE000007,2025-01-18,2025-01,HCP0373,T001,REP001,PROD008,48,202377.6,32302.02,170075.58,Hospital
SALE000008,2025-01-28,2025-01,HCP0109,T001,REP001,PROD023,62,206763.8,18184.59,188579.21,Hospital
SALE000009,2025-01-21,2025-01,HCP0325,T001,REP001,PROD006,62,229110.46,32656.3,196454.16,Retail
SALE000010,2025-01-12,2025-01,HCP0493,T001,REP001,PROD014,63,99098.37,14797.78,84300.59,Retail
SALE000011,2025-01-25,2025-01,HCP0097,T001,REP001,PROD024,21,2685.27,105.04,2580.23,Distributor
SALE000012,2025-01-31,2025-01,HCP0457,T001,REP001,PROD011,68,290621.8,41260.35,249361.45,Retail
SALE000013,2025-01-02,2025-01,HCP0193,T001,REP001,PROD022,38,115331.14,8986.82,106344.32,Distributor
SALE000014,2025-01-10,2025-01,HCP0481,T001,REP001,PROD012,100,147365.0,5350.08,142014.92,Retail
SALE000015,2025-01-27,2025-01,HCP0133,T001,REP001,PROD018,51,163499.88,18441.85,145058.03,Distributor
SALE000016,2025-01-17,2025-01,HCP0289,T001,REP001,PROD021,60,90582.0,5951.23,84630.77,Retail
SALE000017,2025-01-16,2025-01,HCP0085,T001,REP001,PROD012,28,41262.2,866.78,40395.42,Hospital
SALE000018,2025-01-17,2025-01,HCP0025,T001,REP001,PROD013,47,53527.83,6397.0,47130.83,Hospital
SALE000019,2025-01-08,2025-01,HCP0241,T001,REP001,PROD008,55,231891.0,25939.76,205951.24,Retail
SALE000020,2025-01-09,2025-01,HCP0253,T001,REP001,PROD022,20,60700.6,6008.55,54692.05,Distributor
SALE000021,2025-01-05,2025-01,HCP0265,T001,REP001,PROD007,51,134718.03,3182.95,131535.08,Retail
SALE000022,2025-01-02,2025-01,HCP0457,T001,REP001,PROD019,117,168682.41,22920.64,145761.77,Retail
SALE000023,2025-01-22,2025-01,HCP0253,T001,REP001,PROD006,21,77601.93,2938.53,74663.4,Retail
SALE000024,2025-01-05,2025-01,HCP0025,T001,REP001,PROD021,28,42271.6,1786.55,40485.05,Distributor
SALE000025,2025-01-04,2025-01,HCP0073,T001,REP001,PROD011,39,166680.15,21908.08,144772.07,Distributor
SALE000026,2025-01-26,2025-01,HCP0421,T001,REP001,PROD022,108,327783.24,37584.22,290199.02,Distributor
SALE000027,2025-01-02,2025-01,HCP0289,T001,REP001,PROD013,14,15944.46,1644.61,14299.85,Hospital
SALE000028,2025-01-16,2025-01,HCP0061,T001,REP001,PROD011,104,444480.4,62132.23,382348.17,Hospital
SALE000029,2025-01-27,2025-01,HCP0325,T001,REP001,PROD022,84,254942.52,27585.3,227357.22,Hospital
SALE000030,2025-01-28,2025-01,HCP0313,T001,REP001,PROD021,24,36232.8,4094.03,32138.77,Retail
SALE000031,2025-01-17,2025-01,HCP0457,T001,REP001,PROD003,34,137477.3,5882.54,131594.76,Distributor
SALE000032,2025-01-22,2025-01,HCP0266,T002,REP002,PROD008,27,113837.4,15901.61,97935.79,Hospital
SALE000033,2025-01-30,2025-01,HCP0266,T002,REP002,PROD024,22,2813.14,140.0,2673.14,Hospital
SALE000034,2025-01-31,2025-01,HCP0134,T002,REP002,PROD014,55,86514.45,4584.97,81929.48,Distributor
SALE000035,2025-01-31,2025-01,HCP0434,T002,REP002,PROD010,25,6088.5,668.76,5419.74,Hospital
SALE000036,2025-01-19,2025-01,HCP0362,T002,REP002,PROD011,45,192323.25,29081.35,163241.9,Retail
SALE000037,2025-01-09,2025-01,HCP0158,T002,REP002,PROD021,68,102659.6,12047.41,90612.19,Hospital
SALE000038,2025-01-29,2025-01,HCP0386,T002,REP002,PROD003,49,198129.05,31404.5,166724.55,Hospital
SALE000039,2025-01-02,2025-01,HCP0098,T002,REP002,PROD024,86,10996.82,390.19,10606.63,Distributor
SALE000040,2025-01-21,2025-01,HCP0494,T002,REP002,PROD002,64,83488.64,8055.14,75433.5,Distributor
SALE000041,2025-01-16,2025-01,HCP0230,T002,REP002,PROD008,20,84324.0,12583.17,71740.83,Hospital
SALE000042,2025-01-13,2025-01,HCP0314,T002,REP002,PROD024,45,5754.15,303.37,5450.78,Retail
SALE000043,2025-01-09,2025-01,HCP0098,T002,REP002,PROD016,43,9287.14,450.76,8836.38,Distributor
