product_id,product_name,therapy_area,margin_percent,total_net_sales,estimated_margin_contribution,units_sold
PROD008,PainAway,Pain Management,67.61,216310540.53,146247556.452333,56340
PROD011,BronchoFree,Respiratory,60.49,149591954.81,90488173.464569,38548
PROD018,SugarNorm,Diabetes,52.46,172026132.51,90244909.114746,58872
PROD020,HepatoSafe,Gastroenterology,58.42,125211243.35,73148408.36507,32109
PROD003,RespiraPlus,Respiratory,57.81,126284378.66,73004999.30334601,34258
PROD006,OncoRelief,Oncology,64.19,94434275.13,60617361.205947,28224
PROD017,BPControl,Cardiology,61.59,86561828.56,53313430.210104,24785
PROD015,Skinova,Dermatology,64.26,76439111.07000001,49119772.773582004,25733
PROD022,ChemoCare,Oncology,59.46,75758861.62,45046219.119252004,27428
PROD007,DermaCure,Dermatology,67.2,65870304.05,44264844.321600005,27400
PROD004,GastroEase,Gastroenterology,57.27,74939045.55,42917591.386485,33766
PROD023,Dermashield,Dermatology,35.55,85457121.65,30380006.746574998,28126
PROD021,NervePlus,Neurology,54.53,44598987.36,24319827.807408,32630
PROD014,Immunex,Oncology,50.25,41023023.23,20614069.173075,28664
PROD012,AcidGuard,Gastroenterology,44.56,46034631.88,20513031.965728,34225
PROD001,Cardiovance,Cardiology,48.02,39615420.48,19023324.914496,26696
PROD002,GlucoRight,Diabetes,23.2,64079118.07,14866355.392239999,53893
PROD019,AirFlo,Respiratory,28.28,46405518.35,13123480.58938,35466
PROD013,MigraLess,Neurology,32.07,31194372.55,10004035.276785,30088
PROD009,LipidSure,Cardiology,36.63,25736503.31,9427281.162453001,24376
PROD005,NeuroCalm,Neurology,52.22,15403453.92,8043683.637023999,30282
PROD010,InsuCare,Diabetes,54.23,11954799.58,6483087.812233999,54037
PROD016,OrthoFlex,Pain Management,48.98,10766308.73,5273338.015954,54834
PROD024,JointEase,Pain Management,54.29,6323058.25,3432788.323925,54267
PROD025,CardioMax,Cardiology,49.71,5607605.01,2787540.4504710003,23582
